Flow,Category,Unit,Result
"Hydrocarbons, aliphatic, alkanes, cyclic",Emission to air,kg,5.6385E-10
"Hydrocarbons, aliphatic, alkanes, unspecified",Emission to air,kg,1.3595E-06
"Hydrocarbons, aliphatic, unsaturated",Emission to air,kg,8.4757E-07
"Hydrocarbons, aromatic",Emission to air,kg,5.4438E-08
"Hydrocarbons, chlorinated",Emission to air,kg,4.7457E-09
Hydrogen,Emission to air,kg,0.0002598
Hydrogen chloride,Emission to air,kg,6.3154E-06
Hydrogen fluoride,Emission to air,kg,2.4553E-07
Hydrogen peroxide,Emission to air,kg,2.1413E-09
Hydrogen sulfide,Emission to air,kg,5.8316E-10
Iodine,Emission to air,kg,1.7157E-09
Iron,Emission to air,kg,7.3825E-07
Isocyanic acid,Emission to air,kg,1.0788E-08
Isopropylamine,Emission to air,kg,1.8143E-14
Lactic acid,Emission to air,kg,4.8571E-14
Lead,Emission to air,kg,6.4381E-08
Lead-210,Emission to air,kBq,6.9963E-06
m-Xylene,Emission to air,kg,2.8125E-08
Magnesium,Emission to air,kg,6.5777E-07
Manganese,Emission to air,kg,5.6376E-08
Mercury,Emission to air,kg,5.7844E-07
"Methane, biogenic",Emission to air,kg,1.7942E-06
"Methane, bromotrifluoro-, Halon 1301",Emission to air,kg,2.0076E-15
"Methane, chlorodifluoro-, HCFC-22",Emission to air,kg,1.3291E-09
"Methane, dichloro-, HCC-30",Emission to air,kg,3.4816E-11
"Methane, dichlorodifluoro-, CFC-12",Emission to air,kg,1.0607E-10
"Methane, dichlorofluoro-, HCFC-21",Emission to air,kg,2.5695E-13
"Methane, fossil",Emission to air,kg,0.000026215
"Methane, monochloro-, R-40",Emission to air,kg,2.2454E-12
"Methane, tetrachloro-, R-10",Emission to air,kg,1.3419E-08
"Methane, tetrafluoro-, R-14",Emission to air,kg,4.046E-11
"Methane, trichlorofluoro-, CFC-11",Emission to air,kg,4.1714E-13
"Methane, trifluoro-, HFC-23",Emission to air,kg,8.1756E-11
Methanesulfonic acid,Emission to air,kg,4.3683E-14
Methanol,Emission to air,kg,4.8531E-07
Methyl acetate,Emission to air,kg,1.8772E-15
Methyl acrylate,Emission to air,kg,9.0292E-10
Methyl amine,Emission to air,kg,1.7427E-12
Methyl borate,Emission to air,kg,1.7354E-14
Methyl ethyl ketone,Emission to air,kg,1.4291E-06
Methyl formate,Emission to air,kg,3.5232E-12
Methyl lactate,Emission to air,kg,5.3323E-14
Molybdenum,Emission to air,kg,1.0756E-08
Monoethanolamine,Emission to air,kg,3.8903E-08
Nickel,Emission to air,kg,3.6264E-07
Nitrate,Emission to air,kg,1.601E-09
Nitrobenzene,Emission to air,kg,3.0439E-13
Nitrogen oxides,Emission to air,kg,0.00051441
"NMVOC, non-methane volatile organic compounds, unspecified origin",Emission to air,kg,7.8441E-06
o-Nitrotoluene,Emission to air,kg,7.0006E-15
Ozone,Emission to air,kg,6.4714E-10
"PAH, polycyclic aromatic hydrocarbons",Emission to air,kg,3.0212E-08
"Particulates, < 2.5 um",Emission to air,kg,0.000043609
"Particulates, > 10 um",Emission to air,kg,0.000015322
"Particulates, > 2.5 um, and < 10um",Emission to air,kg,0.000014509
Pentane,Emission to air,kg,7.2451E-06
Phenol,Emission to air,kg,7.4347E-09
"Phenol, 2,4-dichloro",Emission to air,kg,1.6185E-14
"Phenol, pentachloro-",Emission to air,kg,2.9796E-12
Phosphine,Emission to air,kg,6.8789E-13
Phosphorus,Emission to air,kg,8.252E-08
Platinum,Emission to air,kg,9.3531E-15
Polonium-210,Emission to air,kBq,0.000012789
Polychlorinated biphenyls,Emission to air,kg,2.8993E-14
Potassium,Emission to air,kg,5.6758E-06
Potassium-40,Emission to air,kBq,2.0312E-06
Propanal,Emission to air,kg,2.7952E-11
Propane,Emission to air,kg,4.7333E-06
Propanol,Emission to air,kg,2.8065E-11
Propene,Emission to air,kg,2.1101E-07
Propionic acid,Emission to air,kg,5.173E-08
Propylamine,Emission to air,kg,2.5759E-14
Propylene oxide,Emission to air,kg,8.9454E-09
"Radioactive species, other beta emitters",Emission to air,kBq,0.000067722
Radium-226,Emission to air,kBq,1.8055E-06
Radium-228,Emission to air,kBq,9.7792E-06
Radon-220,Emission to air,kBq,1.5075E-07
Radon-222,Emission to air,kBq,1.5063E-07
Scandium,Emission to air,kg,1.8957E-10
Selenium,Emission to air,kg,8.1669E-09
Silicon,Emission to air,kg,2.4143E-06
Silver,Emission to air,kg,1.2627E-10
Sodium,Emission to air,kg,7.1875E-07
Sodium chlorate,Emission to air,kg,9.2299E-10
Sodium dichromate,Emission to air,kg,2.6032E-09
Sodium formate,Emission to air,kg,1.4376E-10
Sodium hydroxide,Emission to air,kg,7.9835E-09
Strontium,Emission to air,kg,2.859E-08
Styrene,Emission to air,kg,1.9624E-09
Sulfate,Emission to air,kg,9.0159E-06
Sulfur dioxide,Emission to air,kg,0.0005793
Sulfuric acid,Emission to air,kg,1.6717E-09
Sulphur trioxide,Emission to air,kg,2.4767E-12
t-Butyl methyl ether,Emission to air,kg,4.996E-10
t-Butylamine,Emission to air,kg,4.7644E-14
Thallium,Emission to air,kg,2.3829E-10
Thorium,Emission to air,kg,2.8586E-10
Thorium-228,Emission to air,kBq,8.2752E-07
Thorium-232,Emission to air,kBq,5.266E-07
Tin,Emission to air,kg,4.2412E-10
Titanium,Emission to air,kg,5.8327E-08
Toluene,Emission to air,kg,4.6281E-07
"Toluene, 2-chloro",Emission to air,kg,9.9377E-14
Trimethylamine,Emission to air,kg,3.37E-15
Uranium,Emission to air,kg,3.8065E-10
Uranium-238,Emission to air,kBq,1.5046E-06
Vanadium,Emission to air,kg,1.2918E-06
Water,Emission to air,kg,1.1628E-08
Xylene,Emission to air,kg,2.6082E-07
Zinc,Emission to air,kg,2.6315E-07
Acenaphthene,Emission to air,kg,6.4098E-14
Acetaldehyde,Emission to air,kg,2.9322E-10
Acetic acid,Emission to air,kg,1.9262E-09
Acetone,Emission to air,kg,8.888E-08
Acetonitrile,Emission to air,kg,8.0602E-11
Acrolein,Emission to air,kg,1.4577E-10
"Actinides, radioactive, unspecified",Emission to air,kBq,2.6045E-07
"Aerosols, radioactive, unspecified",Emission to air,kBq,6.3756E-06
"Aldehydes, unspecified",Emission to air,kg,1.1653E-08
Aluminium,Emission to air,kg,4.4618E-08
Ammonia,Emission to air,kg,3.2103E-06
Antimony,Emission to air,kg,3.4887E-08
Antimony-124,Emission to air,kBq,2.7624E-11
Antimony-125,Emission to air,kBq,2.8828E-10
Argon-41,Emission to air,kBq,0.003362
Arsenic,Emission to air,kg,2.3866E-07
Barium,Emission to air,kg,1.3148E-07
Barium-140,Emission to air,kBq,1.8752E-08
Benzene,Emission to air,kg,3.7639E-06
"Benzene, ethyl-",Emission to air,kg,1.1824E-11
Benzo(a)pyrene,Emission to air,kg,1.649E-08
Beryllium,Emission to air,kg,1.5802E-10
Boron,Emission to air,kg,9.3123E-06
Bromine,Emission to air,kg,1.0176E-06
Butadiene,Emission to air,kg,4.3027E-13
Butane,Emission to air,kg,9.0692E-07
Cadmium,Emission to air,kg,7.0287E-08
Calcium,Emission to air,kg,9.5433E-09
"Carbon dioxide, biogenic",Emission to air,kg,0.0044281
"Carbon dioxide, fossil",Emission to air,kg,0.6723
"Carbon dioxide, land transformation",Emission to air,kg,0.000074064
Carbon disulfide,Emission to air,kg,4.7911E-06
"Carbon monoxide, fossil",Emission to air,kg,0.00024276
"Carbon monoxide, land transformation",Emission to air,kg,3.0898E-06
Carbon-14,Emission to air,kBq,0.025847
Cerium-141,Emission to air,kBq,4.546E-09
Cesium-134,Emission to air,kBq,2.1772E-10
Cesium-137,Emission to air,kBq,3.8596E-09
Chlorine,Emission to air,kg,3.4312E-09
Chloroform,Emission to air,kg,1.2322E-11
Chromium,Emission to air,kg,1.8224E-06
Chromium VI,Emission to air,kg,4.6921E-08
Chromium-51,Emission to air,kBq,2.9131E-10
Cobalt,Emission to air,kg,3.057E-08
Cobalt-58,Emission to air,kBq,4.0566E-10
Cobalt-60,Emission to air,kBq,3.5836E-09
Copper,Emission to air,kg,7.3731E-07
Cumene,Emission to air,kg,6.8454E-13
Cyanide,Emission to air,kg,2.7311E-08
Dinitrogen monoxide,Emission to air,kg,0.00001155
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",Emission to air,kg,7.8293E-14
Ethane,Emission to air,kg,0.000017285
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,kg,6.0573E-10
"Ethane, 1,1,1-trichloro-, HCFC-140",Emission to air,kg,2.5141E-12
"Ethane, 1,2-dichloro-",Emission to air,kg,5.0221E-12
"Ethane, 1,2-dichloro-1,1,2,2-tetrafluoro-, CFC-114",Emission to air,kg,1.0455E-08
Ethanol,Emission to air,kg,3.1257E-09
Ethene,Emission to air,kg,1.2845E-07
"Ethene, tetrachloro-",Emission to air,kg,5.4017E-12
Ethylene oxide,Emission to air,kg,4.1592E-12
Ethyne,Emission to air,kg,4.0864E-09
Fluorine,Emission to air,kg,2.7138E-08
Formaldehyde,Emission to air,kg,3.9637E-07
Formic acid,Emission to air,kg,5.391E-10
Furan,Emission to air,kg,1.5308E-10
"Heat, waste",Emission to air,MJ,9.0023
Helium,Emission to air,kg,1.304E-07
Hexane,Emission to air,kg,2.4904E-07
"Hydrocarbons, aliphatic, alkanes, cyclic",Emission to air,kg,7.2811E-11
"Hydrocarbons, aliphatic, alkanes, unspecified",Emission to air,kg,2.2725E-06
"Hydrocarbons, aliphatic, unsaturated",Emission to air,kg,1.3737E-06
"Hydrocarbons, aromatic",Emission to air,kg,4.6098E-07
"Hydrocarbons, chlorinated",Emission to air,kg,2.5515E-11
Hydrogen chloride,Emission to air,kg,0.000060411
Hydrogen fluoride,Emission to air,kg,0.000013148
Hydrogen sulfide,Emission to air,kg,2.0491E-06
"Hydrogen-3, Tritium",Emission to air,kBq,0.15021
Iodine,Emission to air,kg,5.4825E-07
Iodine-129,Emission to air,kBq,0.000026255
Iodine-131,Emission to air,kBq,0.0013311
Iodine-133,Emission to air,kBq,5.3907E-08
Iodine-135,Emission to air,kBq,6.8289E-08
Iron,Emission to air,kg,2.9894E-08
Isoprene,Emission to air,kg,7.1035E-12
Krypton-85,Emission to air,kBq,0.010522
Krypton-85m,Emission to air,kBq,0.00043885
Krypton-87,Emission to air,kBq,0.00018815
Krypton-88,Emission to air,kBq,0.00017957
Krypton-89,Emission to air,kBq,0.000042122
Lanthanum-140,Emission to air,kBq,1.6027E-09
Lead,Emission to air,kg,6.8294E-07
Lead-210,Emission to air,kBq,0.00013986
Magnesium,Emission to air,kg,1.7646E-08
Manganese,Emission to air,kg,1.3725E-07
Manganese-54,Emission to air,kBq,1.4918E-10
Mercury,Emission to air,kg,3.0901E-08
"Methane, biogenic",Emission to air,kg,0.000015541
"Methane, bromochlorodifluoro-, Halon 1211",Emission to air,kg,4.6463E-09
"Methane, bromotrifluoro-, Halon 1301",Emission to air,kg,1.5059E-09
"Methane, chlorodifluoro-, HCFC-22",Emission to air,kg,2.2754E-08
"Methane, dichloro-, HCC-30",Emission to air,kg,3.6468E-11
"Methane, dichlorodifluoro-, CFC-12",Emission to air,kg,1.5763E-11
"Methane, fossil",Emission to air,kg,0.0017497
"Methane, monochloro-, R-40",Emission to air,kg,6.6588E-11
Methanol,Emission to air,kg,3.955E-08
Molybdenum,Emission to air,kg,8.1679E-09
Nickel,Emission to air,kg,5.0579E-07
Niobium-95,Emission to air,kBq,1.7709E-11
Nitrate,Emission to air,kg,3.5388E-08
Nitrogen oxides,Emission to air,kg,0.0011429
"NMVOC, non-methane volatile organic compounds, unspecified origin",Emission to air,kg,0.00013597
"Noble gases, radioactive, unspecified",Emission to air,kBq,252.3
Ozone,Emission to air,kg,2.654E-10
"PAH, polycyclic aromatic hydrocarbons",Emission to air,kg,1.6087E-08
"Particulates, < 2.5 um",Emission to air,kg,0.00022513
"Particulates, > 10 um",Emission to air,kg,0.00064887
"Particulates, > 2.5 um, and < 10um",Emission to air,kg,0.000077394
Pentane,Emission to air,kg,9.3225E-07
Phenol,Emission to air,kg,2.8032E-08
"Phenol, pentachloro-",Emission to air,kg,7.2028E-09
Phosphorus,Emission to air,kg,1.4811E-09
Platinum,Emission to air,kg,3.667E-13
Plutonium-238,Emission to air,kBq,3.5816E-12
Plutonium-alpha,Emission to air,kBq,8.2103E-12
Polonium-210,Emission to air,kBq,0.00024676
Potassium,Emission to air,kg,6.1784E-09
Potassium-40,Emission to air,kBq,0.000031332
Propane,Emission to air,kg,4.7364E-06
Propene,Emission to air,kg,1.0991E-07
Protactinium-234,Emission to air,kBq,3.5546E-06
"Radioactive species, other beta emitters",Emission to air,kBq,1.5475E-07
Radium-226,Emission to air,kBq,0.00014988
Radium-228,Emission to air,kBq,0.000011897
Radon-220,Emission to air,kBq,0.0014336
Radon-222,Emission to air,kBq,10.946
Ruthenium-103,Emission to air,kBq,3.8908E-12
Scandium,Emission to air,kg,8.947E-11
Selenium,Emission to air,kg,9.4957E-08
Silicon,Emission to air,kg,1.4301E-07
Silicon tetrafluoride,Emission to air,kg,5.7789E-11
Silver,Emission to air,kg,3.3698E-13
Silver-110,Emission to air,kBq,3.8561E-11
Sodium,Emission to air,kg,8.0344E-09
Strontium,Emission to air,kg,1.2951E-07
Styrene,Emission to air,kg,9.4828E-11
Sulfate,Emission to air,kg,2.6738E-07
Sulfur dioxide,Emission to air,kg,0.0029135
Sulfur hexafluoride,Emission to air,kg,8.9889E-11
Sulfuric acid,Emission to air,kg,7.8089E-13
Terpenes,Emission to air,kg,6.7168E-11
Thallium,Emission to air,kg,5.7586E-12
Thorium,Emission to air,kg,1.0175E-11
Thorium-228,Emission to air,kBq,6.4056E-06
Thorium-230,Emission to air,kBq,0.000013232
Thorium-232,Emission to air,kBq,0.000010057
Thorium-234,Emission to air,kBq,3.5553E-06
Tin,Emission to air,kg,3.6966E-08
Titanium,Emission to air,kg,1.5713E-09
Toluene,Emission to air,kg,7.4711E-07
Tungsten,Emission to air,kg,1.0616E-11
Uranium,Emission to air,kg,5.1735E-12
Uranium alpha,Emission to air,kBq,0.00019319
Uranium-234,Emission to air,kBq,0.000041424
Uranium-235,Emission to air,kBq,2.0053E-06
Uranium-238,Emission to air,kBq,0.000066113
Vanadium,Emission to air,kg,3.9863E-08
Water,Emission to air,kg,2.8228E-08
Xenon-131m,Emission to air,kBq,0.00085451
Xenon-133,Emission to air,kBq,0.0268
Xenon-133m,Emission to air,kBq,0.00012457
Xenon-135,Emission to air,kBq,0.011017
Xenon-135m,Emission to air,kBq,0.0064487
Xenon-137,Emission to air,kBq,0.00011551
Xenon-138,Emission to air,kBq,0.0010516
Xylene,Emission to air,kg,5.8919E-06
Zinc,Emission to air,kg,1.0382E-06
Zinc-65,Emission to air,kBq,7.449E-10
Zirconium,Emission to air,kg,1.2542E-10
Zirconium-95,Emission to air,kBq,7.2811E-10
Aluminium,Emission to air,kg,0.000011993
Antimony,Emission to air,kg,1.0813E-09
Arsenic,Emission to air,kg,6.3568E-08
Barium,Emission to air,kg,6.9466E-08
Beryllium,Emission to air,kg,1.5138E-09
Boron,Emission to air,kg,2.0152E-08
Cadmium,Emission to air,kg,1.6383E-09
Calcium,Emission to air,kg,3.8993E-06
Chlorine,Emission to air,kg,1.4876E-07
Chromium VI,Emission to air,kg,7.733E-09
Cobalt,Emission to air,kg,9.6335E-09
Copper,Emission to air,kg,1.0158E-07
Fluorine,Emission to air,kg,7.307E-07
Iron,Emission to air,kg,0.000013041
Lead,Emission to air,kg,1.0748E-07
Magnesium,Emission to air,kg,0.000001196
Manganese,Emission to air,kg,2.6967E-07
Mercury,Emission to air,kg,8.2573E-10
Molybdenum,Emission to air,kg,2.0873E-08
Nickel,Emission to air,kg,2.2019E-08
Nitrate,Emission to air,kg,1.0289E-07
"Particulates, < 2.5 um",Emission to air,kg,0.000009568
"Particulates, > 10 um",Emission to air,kg,0.00002392
"Particulates, > 2.5 um, and < 10um",Emission to air,kg,0.000014352
Phosphorus,Emission to air,kg,2.0152E-08
Potassium,Emission to air,kg,2.0512E-06
Radon-222,Emission to air,kBq,458.74
Scandium,Emission to air,kg,4.2925E-08
Selenium,Emission to air,kg,5.9964E-09
Silicon,Emission to air,kg,2.6705E-06
Silver,Emission to air,kg,1.7956E-09
Sodium,Emission to air,kg,7.0449E-07
Strontium,Emission to air,kg,4.358E-08
Sulfate,Emission to air,kg,0.000011042
Tin,Emission to air,kg,2.5001E-09
Titanium,Emission to air,kg,7.8313E-07
Tungsten,Emission to air,kg,4.8495E-09
Vanadium,Emission to air,kg,7.4381E-08
Zinc,Emission to air,kg,7.7002E-08
Benzene,Emission to air,kg,2.7601E-12
Butadiene,Emission to air,kg,2.6148E-12
Cadmium,Emission to air,kg,1.3835E-15
"Carbon dioxide, fossil",Emission to air,kg,4.3581E-07
"Carbon monoxide, fossil",Emission to air,kg,5.119E-10
Chromium,Emission to air,kg,6.9177E-15
Copper,Emission to air,kg,2.3519E-13
Dinitrogen monoxide,Emission to air,kg,4.1506E-12
Ethylene oxide,Emission to air,kg,2.5276E-11
Formaldehyde,Emission to air,kg,2.1791E-11
"Heat, waste",Emission to air,MJ,6.3088E-06
Hydrogen chloride,Emission to air,kg,1.1898E-13
Lead,Emission to air,kg,2.7671E-15
Mercury,Emission to air,kg,9.6846E-18
"Methane, fossil",Emission to air,kg,6.9177E-12
Nickel,Emission to air,kg,9.6846E-15
Nitrogen oxides,Emission to air,kg,1.9369E-09
"NMVOC, non-methane volatile organic compounds, unspecified origin",Emission to air,kg,9.2828E-11
"Particulates, < 2.5 um",Emission to air,kg,5.2574E-12
Selenium,Emission to air,kg,1.3835E-15
Sulfur dioxide,Emission to air,kg,1.3835E-10
Water,Emission to air,kg,1.7155E-07
Zinc,Emission to air,kg,1.3835E-13
Acenaphthene,Emission to air,kg,5.9474E-16
Acetaldehyde,Emission to air,kg,2.9298E-08
Acetic acid,Emission to air,kg,5.0514E-08
Acrolein,Emission to air,kg,3.4429E-13
"Aldehydes, unspecified",Emission to air,kg,2.5315E-12
Aluminium,Emission to air,kg,0.000035222
Ammonia,Emission to air,kg,0.000018711
Antimony,Emission to air,kg,1.9628E-11
Arsenic,Emission to air,kg,1.1805E-10
Barium,Emission to air,kg,1.7601E-16
Benzal chloride,Emission to air,kg,4.3677E-17
Benzene,Emission to air,kg,9.3029E-08
"Benzene, hexachloro-",Emission to air,kg,6.6287E-11
Benzo(a)pyrene,Emission to air,kg,1.7975E-09
Beryllium,Emission to air,kg,2.9445E-11
Boron,Emission to air,kg,1.0159E-15
Bromine,Emission to air,kg,8.307E-16
Butadiene,Emission to air,kg,6.1013E-12
Butane,Emission to air,kg,6.2511E-10
Cadmium,Emission to air,kg,3.5763E-10
"Carbon dioxide, biogenic",Emission to air,kg,0.0016585
"Carbon dioxide, fossil",Emission to air,kg,0.035412
Carbon disulfide,Emission to air,kg,8.1008E-18
"Carbon monoxide, fossil",Emission to air,kg,0.00031757
Chlorine,Emission to air,kg,4.6277E-11
Chloroform,Emission to air,kg,3.6859E-18
Chromium,Emission to air,kg,9.2666E-09
Chromium VI,Emission to air,kg,5.774E-12
Cobalt,Emission to air,kg,3.9303E-11
Copper,Emission to air,kg,3.0979E-08
Cumene,Emission to air,kg,3.3078E-19
Cyanide,Emission to air,kg,1.5594E-16
Dinitrogen monoxide,Emission to air,kg,0.000010932
"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin",Emission to air,kg,6.4174E-14
Ethane,Emission to air,kg,9.2485E-10
"Ethane, 1,1,1,2-tetrafluoro-, HFC-134a",Emission to air,kg,3.0479E-08
"Ethane, 1,1,1-trichloro-, HCFC-140",Emission to air,kg,6.8182E-18
"Ethane, hexafluoro-, HFC-116",Emission to air,kg,1.7348E-08
"Ethene, chloro-",Emission to air,kg,2.4978E-18
"Ethene, tetrachloro-",Emission to air,kg,5.4006E-15
Ethylene oxide,Emission to air,kg,5.898E-11
Ethyne,Emission to air,kg,1.1971E-09
Fluorine,Emission to air,kg,8.071E-12
Formaldehyde,Emission to air,kg,3.2476E-07
Furan,Emission to air,kg,5.306E-19
"Heat, waste",Emission to air,MJ,0.65664
Helium,Emission to air,kg,2.7137E-15
Hexane,Emission to air,kg,5.3533E-10
"Hydrocarbons, aliphatic, alkanes, unspecified",Emission to air,kg,8.4283E-07
"Hydrocarbons, aliphatic, unsaturated",Emission to air,kg,3.1319E-16
"Hydrocarbons, aromatic",Emission to air,kg,2.6006E-07
"Hydrocarbons, chlorinated",Emission to air,kg,1.1391E-08
Hydrogen,Emission to air,kg,2.9866E-09
Hydrogen chloride,Emission to air,kg,2.3615E-06
Hydrogen fluoride,Emission to air,kg,6.1121E-07
Hydrogen sulfide,Emission to air,kg,8.938E-07
Iodine,Emission to air,kg,4.2384E-16
Iron,Emission to air,kg,5.3829E-08
Isoprene,Emission to air,kg,7.0882E-18
Lead,Emission to air,kg,3.0142E-08
Lead-210,Emission to air,kBq,1.7601E-13
Magnesium,Emission to air,kg,1.2826E-12
Manganese,Emission to air,kg,7.2065E-09
Mercury,Emission to air,kg,8.167E-09
"Methane, biogenic",Emission to air,kg,0.000033136
"Methane, bromo-, Halon 1001",Emission to air,kg,9.991E-18
"Methane, dichlorodifluoro-, CFC-12",Emission to air,kg,6.6427E-18
"Methane, fossil",Emission to air,kg,1.5243E-06
"Methane, tetrachloro-, R-10",Emission to air,kg,2.9703E-15
"Methane, tetrafluoro-, R-14",Emission to air,kg,1.5613E-07
Methanol,Emission to air,kg,2.5418E-08
Molybdenum,Emission to air,kg,1.0447E-12
Nickel,Emission to air,kg,5.2719E-09
Nitrogen oxides,Emission to air,kg,0.00028656
"NMVOC, non-methane volatile organic compounds, unspecified origin",Emission to air,kg,0.000035965
Ozone,Emission to air,kg,8.9913E-06
"PAH, polycyclic aromatic hydrocarbons",Emission to air,kg,6.3833E-08
"Particulates, < 2.5 um",Emission to air,kg,0.000014606
"Particulates, > 10 um",Emission to air,kg,4.1615E-06
"Particulates, > 2.5 um, and < 10um",Emission to air,kg,3.9106E-06
Pentane,Emission to air,kg,7.7633E-10
Phenol,Emission to air,kg,2.1404E-09
Phosphorus,Emission to air,kg,4.9055E-11
Polonium-210,Emission to air,kBq,3.216E-13
Polychlorinated biphenyls,Emission to air,kg,1.1312E-10
Potassium-40,Emission to air,kBq,4.329E-14
Propanal,Emission to air,kg,2.3695E-17
Propane,Emission to air,kg,4.7592E-10
Propene,Emission to air,kg,5.6101E-13
Propionic acid,Emission to air,kg,1.0801E-11
Radium-226,Emission to air,kBq,4.5425E-14
Radium-228,Emission to air,kBq,1.3459E-14
Radon-220,Emission to air,kBq,9.4474E-13
Radon-222,Emission to air,kBq,5.3061E-13
Selenium,Emission to air,kg,7.0756E-11
Silicon,Emission to air,kg,1.0718E-14
Sodium,Emission to air,kg,1.5768E-11
Strontium,Emission to air,kg,1.6048E-16
Styrene,Emission to air,kg,1.5594E-18
Sulfate,Emission to air,kg,4.8314E-11
Sulfur dioxide,Emission to air,kg,0.000022672
